# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	22705
#@/user_id	11b0f9ec-6c9a-4124-8c37-c6e1e2ec6fbd
a 	啊	c=136 d=1 t=22529
hen guai 	很怪	c=1 d=1 t=19385
hen hao 	很好	c=5 d=1 t=20817
hen ji 	痕跡	c=1 d=1 t=19185
hen jian dan 	很簡單	c=5 d=1.16365 t=17255
hen jiu 	很久	c=3 d=1 t=21722
hen jiu le 	很久了	c=0 d=0.1 t=8523
hen ke neng 	很可能	c=2 d=1 t=21344
hen kuai 	很快	c=2 d=1 t=17964
hen kuai jiu neng 	很快就能	c=1 d=1 t=7376
hen liao jie 	很瞭解	c=1 d=1 t=6366
hen man yi 	很滿意	c=1 d=1 t=39
hen na 	很那	c=1 d=1 t=18173
hen nan 	很難	c=4 d=1.00023 t=21076
hen nan zhao dao 	很難找到	c=1 d=1 t=4053
hen qi guai 	很奇怪	c=2 d=1 t=5059
hen qiang da 	很強大	c=1 d=1 t=6583
hen rong yi 	很容易	c=2 d=1.06235 t=18359
hen shao 	很少	c=4 d=1 t=16625
hen shu fu 	很舒服	c=1 d=1 t=1276
hen shuang 	很爽	c=1 d=1 t=5715
hen xiang 	很像	c=1 d=1 t=18198
hen xiang 	很想	c=1 d=1 t=6104
hen xiao 	很小	c=1 d=1 t=9860
hen you 	很有	c=2 d=1.00001 t=3430
hen you dao li 	很有道理	c=1 d=1 t=14009
hen you qing huai 	很有情懷	c=1 d=1 t=536
hen you shou huo 	很有收穫	c=1 d=1 t=147
hen you xiu 	很優秀	c=1 d=1 t=9884
hen zai yi 	很在意	c=1 d=1 t=19961
hen zao 	很早	c=1 d=1 t=16475
hen zheng chang 	很正常	c=4 d=1.76097 t=5393
hen zhong yao 	很重要	c=1 d=1 t=22260
heng 	橫	c=1 d=1 t=18596
heng sao tian xia 	橫掃天下	c=2 d=1.13807 t=12323
heng te 	亨特	c=1 d=1 t=8452
hong 	泓	c=1 d=1 t=14738
hong 	紅	c=1 d=1 t=335
hong bai 	紅白	c=1 d=1 t=16166
hong bao 	紅包	c=2 d=1.97531 t=16167
hong bao shu 	紅包書	c=1 d=1 t=176
hong cha 	紅茶	c=2 d=1.8781 t=2859
hong dian 	紅點	c=1 d=1 t=5626
hong guan jing ji 	宏觀經濟	c=1 d=1 t=11552
hong guan jing ji xue 	宏觀經濟學	c=1 d=1 t=10125
hong hei 	紅黑	c=0 d=0.1 t=345
hong hei shu 	紅黑樹	c=1 d=1 t=346
hong li 	紅利	c=1 d=1 t=9603
hong ran 	轟然	c=1 d=1 t=13458
hong zha 	轟炸	c=1 d=1 t=4125
hong zhou 	紅軸	c=3 d=1 t=6498
hou 	侯	c=1 d=1 t=12055
hou 	後	c=6 d=0.346597 t=13689
hou du 	厚度	c=1 d=1 t=6547
hou duan 	後端	c=1 d=1 t=1123
hou gong 	後宮	c=1 d=1 t=22582
hou ji wu ren 	後繼無人	c=1 d=1 t=14519
hou lai 	後來	c=14 d=1.4736 t=13516
hou mian 	後面	c=1 d=1 t=5939
hou nian 	猴年	c=2 d=1.95123 t=18468
hou tai 	後臺	c=2 d=1.83527 t=7567
hou tai deng lu 	後臺登錄	c=1 d=1 t=3084
hou wei 	後衛	c=3 d=1 t=21760
hou yi 	後裔	c=2 d=1 t=22586
hou yi zheng 	後遺症	c=1 d=1 t=3454
hou zhe 	後者	c=3 d=1 t=19251
hou zhi 	後置	c=1 d=1 t=18444
hu 	乎	c=1 d=1 t=16283
hu 	互	c=2 d=1.61878 t=11736
hu 	胡	c=4 d=1 t=21273
hu 	虎	c=4 d=1 t=18499
hu dong 	互動	c=1 d=1.00084 t=21180
hu lian wang 	互聯網	c=1 d=1 t=20536
hu lv 	湖綠	c=1 d=1 t=20919
hu lve 	忽略	c=3 d=1.79852 t=20965
hu qi lai 	呼起來	c=0 d=0.1 t=17315
hu san 	胡三	c=1 d=1.06079 t=18791
hu san sheng 	胡三省	c=1 d=1 t=18792
hu shu 	虎書	c=1 d=1 t=1830
hua 	化	c=3 d=1 t=16014
hua 	畫	c=9 d=1.19992 t=19679
hua 	花	c=1 d=1 t=2698
hua 	華	c=5 d=2.61183 t=13092
hua 	話	c=23 d=1.03021 t=22484
hua de 	畫得	c=0 d=0.1 t=2155
hua de tu 	畫得圖	c=1 d=1 t=2156
hua fei 	花費	c=2 d=1.11248 t=21382
hua guo 	花過	c=1 d=1 t=19305
hua hen 	劃痕	c=1 d=1 t=22578
hua hua 	畫畫	c=2 d=1.90937 t=19703
hua hua 	花花	c=1 d=1 t=19683
hua le 	花了	c=1 d=1 t=7585
hua li 	華麗	c=2 d=1.64082 t=18817
hua mian 	畫面	c=1 d=1 t=16993
hua mu lan 	花木蘭	c=1 d=1 t=13743
hua sheng dun 	華盛頓	c=2 d=1.99005 t=11832
hua shou 	華收	c=1 d=1 t=13719
hua shuo 	話說	c=6 d=1.97045 t=13720
hua tu 	畫圖	c=2 d=1.00006 t=2483
hua tuo 	華佗	c=1 d=1 t=16870
hua xu 	華胥	c=1 d=1.09501 t=103
hua xu yin 	華胥引	c=2 d=1.99501 t=105
hua zai 	花在	c=2 d=1 t=16572
hua zhuang pin 	化妝品	c=1 d=1 t=6432
huai 	壞	c=1 d=1 t=4519
huai chu 	壞處	c=1 d=1 t=19282
huai nian 	懷念	c=1 d=1 t=5460
huan 	換	c=3 d=1.96561 t=7109
huan 	環	c=1 d=1 t=16880
huan bao 	環保	c=1 d=1 t=20930
huan ben 	還本	c=1 d=1 t=9951
huan cheng 	換成	c=2 d=1.00002 t=6626
huan guan 	宦官	c=1 d=1 t=12836
huan jie 	環節	c=1 d=1 t=16575
huan jing 	環境	c=6 d=1.00267 t=21356
huan ju hua shuo 	換句話說	c=2 d=1 t=20674
huan lai 	換來	c=1 d=1 t=13282
huan le 	換了	c=2 d=1.64082 t=6611
huan sheng 	環生	c=1 d=1 t=13317
huan ying 	歡迎	c=1 d=1 t=16809
huan yuan 	還原	c=1 d=1 t=19615
huang 	皇	c=1 d=1 t=13597
huang 	黃	c=3 d=1 t=12458
huang di 	皇帝	c=12 d=1.84009 t=15685
huang gai 	黃蓋	c=3 d=1.9802 t=17060
huang hou 	皇后	c=4 d=2.76977 t=18982
huang huang 	煌煌	c=1 d=1 t=15356
huang jin 	黃巾	c=1 d=1 t=12821
huang jin 	黃金	c=1 d=1 t=11763
huang jin jun 	黃巾軍	c=1 d=1 t=14022
huang quan 	皇權	c=1 d=1 t=13792
huang tang 	荒唐	c=1 d=1 t=9420
huang wei 	皇位	c=3 d=1 t=22532
huang yue ying 	黃月影	c=1 d=1 t=5834
hui 	回	c=1 d=1 t=18633
hui 	惠	c=2 d=1 t=22543
hui 	會	c=44 d=2.12479 t=22344
hui 	隳	c=2 d=1.04573 t=10661
hui bao 	回報	c=2 d=1 t=10437
hui bao 	彙報	c=1 d=1 t=11157
hui bei 	會被	c=0 d=0.1 t=6098
hui bu qu 	回不去	c=1 d=1 t=4984
hui chu xian 	會出現	c=1 d=1 t=3253
hui da 	回答	c=3 d=1.00411 t=20832
hui da 	會打	c=1 d=1 t=5793
hui diao 	回調	c=1 d=1 t=17153
hui fu 	回覆	c=2 d=1.00504 t=7378
hui fu 	恢復	c=2 d=1.00008 t=4975
hui gu 	回顧	c=1 d=1 t=21868
hui gui 	回歸	c=0 d=0.1 t=21543
hui gun 	回滾	c=1 d=1 t=5409
hui huang 	輝煌	c=1 d=1 t=13347
hui le 	回了	c=0 d=0.1 t=14607
hui le yi ju 	回了一句	c=1 d=1 t=14608
hui lu 	賄賂	c=1 d=1 t=11024
hui mian 	燴麪	c=1 d=1 t=9705
hui qu 	回去	c=1 d=1 t=5029
hui shi 	回事	c=1 d=1 t=12099
hui shuo 	會說	c=1 d=1 t=14183
hui si 	會死	c=1 d=1 t=6001
hui xia 	麾下	c=1 d=1 t=19564
hui you 	會有	c=4 d=1.0646 t=22335
hui you hen duo ren 	會有很多人	c=1 d=1 t=6395
hui yuan ka 	會員卡	c=1 d=1 t=11401
hun cheng 	混成	c=1 d=1 t=3871
hun he 	混合	c=5 d=1 t=13577
hun jin lai 	混進來	c=1 d=1 t=3987
hun luan 	混亂	c=0 d=0.1 t=3436
hun luan le 	混亂了	c=2 d=1.94649 t=3448
hun yin 	婚姻	c=1 d=1 t=18965
huo 	或	c=6 d=1.00016 t=21023
huo 	活	c=0 d=0.1 t=19949
huo 	火	c=1 d=0.1 t=21724
huo 	獲	c=1 d=1 t=15347
huo bi 	貨幣	c=13 d=1.08872 t=13254
huo bi de 	貨幣的	c=1 d=1 t=12570
huo bi zheng ce 	貨幣政策	c=1 d=1 t=12333
huo chai 	火柴	c=0 d=0.1 t=18
huo chai ren 	火柴人	c=1 d=1 t=19
huo chuan 	貨船	c=1 d=1 t=3011
huo da 	豁達	c=1 d=1 t=1294
huo de 	獲得	c=14 d=1.00625 t=21676
huo de zhe 	獲得者	c=1 d=1 t=13412
huo dong 	活動	c=4 d=1 t=19789
huo ge wo ci 	霍格沃茨	c=1 d=1 t=3512
huo gen 	禍根	c=1 d=1 t=13120
huo gong 	火攻	c=2 d=1.94176 t=5886
huo jian 	火箭	c=1 d=1 t=16236
huo li 	活力	c=1 d=1 t=12670
huo li 	獲利	c=1 d=1 t=10228
huo qu 	獲取	c=1 d=1 t=6267
huo xing 	火星	c=0 d=0.1 t=984
huo xing jiu yuan 	火星救援	c=1 d=1 t=985
huo xu 	或許	c=1 d=1 t=3142
huo yi ci 	活一次	c=1 d=1 t=19950
huo yue 	活躍	c=2 d=1 t=11615
huo zhe 	或者	c=23 d=1.18919 t=22125
huo zhe 	活着	c=1 d=1 t=18321
huo zhe shuo 	或者說	c=1 d=1 t=20141
huo zhong 	火種	c=1 d=1 t=12926
huo zhong qu li 	火中取栗	c=1 d=1 t=12872
ji 	即	c=7 d=1.19124 t=11395
ji 	及	c=0 d=0.107892 t=1817
ji 	姬	c=1 d=1 t=15306
ji 	幾	c=1 d=1 t=13569
ji 	機	c=1 d=1 t=11806
ji 	濟	c=1 d=1 t=15849
ji 	際	c=2 d=1.31822 t=11868
ji bai ge 	幾百個	c=4 d=3.76313 t=16650
ji ben 	基本	c=4 d=1 t=15983
ji ben shang 	基本上	c=13 d=1.97786 t=18599
ji bi 	幾筆	c=1 d=1 t=15495
ji bian 	即便	c=4 d=1.00313 t=20248
ji bian shi 	即便是	c=2 d=1 t=20506
ji bian shi cong 	即便是從	c=1 d=1 t=13419
ji bing 	疾病	c=1 d=1 t=10697
ji cheng 	繼承	c=4 d=1 t=22551
ji cheng che 	計程車	c=1 d=1 t=2953
ji cheng lei 	繼承類	c=1 d=1 t=6776
ji cheng ren 	繼承人	c=1 d=1 t=12960
ji cheng zhe 	繼承者	c=1 d=1 t=12694
ji chu 	基礎	c=4 d=1.00001 t=18249
ji chu 	擠出	c=2 d=1.00068 t=11557
ji chu shang 	基礎上	c=1 d=1 t=13429
ji da 	極大	c=3 d=1 t=11732
ji dan 	雞蛋	c=2 d=1.96079 t=4543
ji de 	記得	c=2 d=1 t=6063
ji dian 	幾點	c=1 d=1 t=17397
ji du 	基督	c=5 d=1.10361 t=15833
ji du 	季度	c=4 d=1 t=14283
ji duan 	幾段	c=0 d=0.1 t=15023
ji duan 	極端	c=1 d=1 t=17310
ji duan fen zi 	極端分子	c=1 d=1 t=4124
ji duan hua 	幾段話	c=1 d=1 t=15024
ji e 	飢餓	c=2 d=2.03172 t=4698
ji e you xi 	飢餓遊戲	c=1 d=1 t=4688
ji ge 	幾個	c=9 d=1.58739 t=16695
ji ge dian 	幾個點	c=1 d=1 t=16634
ji ge ren 	幾個人	c=0 d=0.1 t=8652
ji ge xiao shi 	幾個小時	c=1 d=1 t=3481
ji ge yue 	幾個月	c=1 d=1 t=1632
ji guan 	機關	c=1 d=1 t=13864
ji guo qu 	寄過去	c=1 d=1 t=297
ji he 	集合	c=1 d=1 t=10235
ji hu 	幾乎	c=4 d=1 t=11363
ji hua 	計劃	c=1 d=1 t=4263
ji hui 	機會	c=3 d=1 t=19627
ji huo 	激活	c=1 d=1 t=6270
ji ji 	積極	c=4 d=1.62948 t=22665
ji ji ke wei 	岌岌可危	c=1 d=1 t=13313
ji ji xing 	積極性	c=1 d=1 t=20585
ji jie 	季節	c=1 d=1 t=1824
ji jin 	激進	c=1 d=1 t=12740
ji ju hua 	幾句話	c=1 d=1 t=9648
ji li 	激勵	c=7 d=1.05208 t=20798
ji li xiang rong 	激勵相容	c=3 d=2.03507 t=11178
ji lie 	激烈	c=2 d=1.00007 t=22210
ji lu 	記錄	c=3 d=1.00484 t=14388
ji luo 	擊落	c=1 d=1 t=2347
ji ming 	雞鳴	c=1 d=1 t=19521
ji neng 	技能	c=3 d=1.07853 t=9285
ji nian 	幾年	c=1 d=1 t=12220
ji pian 	幾篇	c=1 d=1 t=12223
ji piao 	機票	c=1 d=1 t=7142
ji qi 	及其	c=1 d=0.100032 t=16501
ji qi 	機器	c=3 d=1 t=12594
ji qi bu zhuan ye 	及其不專業	c=1 d=1 t=16502
ji qian nian 	幾千年	c=1 d=1 t=13408
ji qiao 	技巧	c=1 d=1 t=13711
ji qie 	急切	c=1 d=1 t=1843
ji ran 	既然	c=1 d=1 t=22366
ji shang 	機上	c=0 d=0.1 t=3013
ji shao cheng duo 	積少成多	c=1 d=1 t=8380
ji shi 	即使	c=1 d=1 t=22671
ji shi 	幾十	c=1 d=0.1 t=9173
ji shi nian 	幾十年	c=0 d=0.1 t=5417
ji shi nian le 	幾十年了	c=1 d=1 t=5418
ji shi nian qing 	幾十年輕	c=1 d=1 t=9174
ji shi wan ren 	即使萬人	c=1 d=1 t=1768
ji shu 	技術	c=1 d=0.1 t=16746
ji suan 	計算	c=2 d=1.00028 t=8827
ji suan ji 	計算機	c=3 d=1 t=18911
ji tai 	祭臺	c=1 d=1 t=14259
ji tian 	幾天	c=0 d=0.1 t=78
ji tian neng dao 	幾天能到	c=1 d=1 t=79
ji tuan 	集團	c=2 d=1.98511 t=19370
ji wei 	即位	c=2 d=1 t=16093
ji wei 	極爲	c=1 d=1 t=13806
ji xie 	機械	c=3 d=1.01657 t=6529
ji xie jian pan 	機械鍵盤	c=9 d=2.23225 t=6554
ji xu 	繼續	c=7 d=1 t=17137
ji yu 	基於	c=3 d=1 t=21278
ji yue hua 	集約化	c=4 d=3.47197 t=9581
ji zai 	記載	c=6 d=2.89153 t=19176
ji zai le 	記載了	c=1 d=1 t=19125
ji zai xia lai 	記載下來	c=1 d=1 t=19169
ji zhang 	記賬	c=1 d=1 t=9788
ji zhi 	極致	c=0 d=0.1 t=3434
ji zhi 	機制	c=12 d=0.100009 t=13832
ji zhi you hua 	極致優化	c=1 d=1 t=3435
ji zhong 	集中	c=1 d=1 t=22229
ji zhong yu 	集中與	c=1 d=1 t=7266
jia 	價	c=1 d=1 t=22026
jia 	加	c=11 d=1.27028 t=18025
jia 	夾	c=2 d=1.49411 t=14654
jia 	家	c=10 d=1.00002 t=21801
jia 	賈	c=3 d=2.61305 t=9772
jia ban 	加班	c=1 d=1 t=17273
jia beng 	駕崩	c=1 d=1 t=13288
jia chi 	加持	c=1 d=1 t=4865
jia ding 	假定	c=2 d=1.03005 t=21673
jia ge 	價格	c=28 d=1 t=19808
jia ge qi shi 	價格歧視	c=1 d=1 t=11357
jia gou 	架構	c=1 d=1 t=13867
jia gu wen 	甲骨文	c=1 d=1 t=14254
jia huo 	傢伙	c=0 d=0.1 t=9147
jia le 	加了	c=1 d=1 t=17349
jia mi 	加密	c=1 d=1 t=5272
jia pan 	加盤	c=1 d=1 t=6577
jia qiang 	加強	c=0 d=0.1 t=22312
jia ri 	假日	c=2 d=1.99501 t=9301
jia ru 	加入	c=3 d=1.00001 t=9480
jia ru le 	加入了	c=1 d=1 t=7561
jia shang 	加上	c=1 d=1 t=9676
jia she 	假設	c=5 d=1.14268 t=21587
jia she le 	假設了	c=1 d=1 t=21548
jia shen 	加深	c=1 d=1 t=4280
jia ye 	迦葉	c=1 d=1 t=15876
jia yi 	賈誼	c=9 d=2.96461 t=13266
jia you 	加油	c=1 d=1 t=8386
jia zhi 	價值	c=2 d=1 t=16665
jia zhi guan 	價值觀	c=1 d=1 t=21237
jia zhong 	加重	c=1 d=1 t=9583
jian 	尖	c=2 d=1.956 t=18551
jian 	建	c=3 d=1.15933 t=4249
jian 	見	c=5 d=1.23931 t=19151
jian 	間	c=1 d=1 t=21808
jian an 	建安	c=3 d=2.86593 t=19445
jian bie 	鑑別	c=1 d=1 t=6811
jian bing 	兼併	c=3 d=1.73223 t=9606
jian bing 	煎餅	c=1 d=0.1 t=8433
jian bing xia 	煎餅夏	c=1 d=1 t=8434
jian ce 	檢測	c=1 d=1 t=3236
jian cha 	檢查	c=4 d=0.640641 t=17848
jian chang 	見長	c=0 d=0.1 t=14640
jian cheng 	鍵程	c=1 d=1 t=1274
jian chi 	堅持	c=2 d=1 t=17503
jian dan 	簡單	c=2 d=1 t=15614
jian dao 	見到	c=0 d=0.1 t=8696
jian de 	見得	c=1 d=1 t=15974
jian de 	間的	c=0 d=0.1 t=15972
jian die 	間諜	c=1 d=1 t=7584
jian guo 	建國	c=1 d=1 t=12984
jian guo 	見過	c=3 d=1 t=14967
jian hua 	簡化	c=1 d=1 t=671
jian jian 	尖尖	c=1 d=1 t=18540
jian jian 	漸漸	c=1 d=1 t=18812
jian jie 	簡介	c=9 d=1.99501 t=21794
jian jie 	間接	c=1 d=1 t=21795
jian kang 	健康	c=0 d=0.1 t=10703
jian kang 	建康	c=1 d=1 t=13011
jian li 	建立	c=10 d=0.117222 t=21987
jian li le 	建立了	c=1 d=1 t=21988
jian lian 	簡練	c=0 d=0.1 t=14428
jian mo 	建模	c=1 d=1 t=16608
jian pan 	鍵盤	c=22 d=1.9987 t=9295
jian qiao 	劍橋	c=1 d=1 t=8732
jian qu 	減去	c=1 d=1 t=2384
jian rong 	兼容	c=2 d=1 t=17101
jian shang 	鑑賞	c=1 d=1 t=19172
jian shao 	減少	c=3 d=1 t=22605
jian she 	建設	c=1 d=1 t=22422
jian shi 	見識	c=0 d=0.1 t=2447
jian shi duan qian 	見識短淺	c=1 d=1 t=2448
jian ti 	簡體	c=2 d=1.96079 t=13933
jian xiong 	奸雄	c=1 d=1 t=11623
jian yan 	建言	c=1 d=1 t=12039
jian yan 	檢驗	c=1 d=1 t=21032
jian yi 	建議	c=4 d=1.00122 t=17832
jian yi 	簡易	c=1 d=1 t=17833
jian yi yong 	建議用	c=1 d=1 t=1437
jian zhi 	簡直	c=2 d=1 t=19465
jian zhu 	建築	c=1 d=1 t=17064
jiang 	將	c=6 d=1.0008 t=22271
jiang 	獎	c=0 d=0.1 t=13410
jiang 	講	c=5 d=1 t=22096
jiang cong 	將從	c=1 d=1 t=13443
jiang dao 	講到	c=1 d=1 t=19622
jiang dao li 	講道理	c=1 d=1 t=14871
jiang de 	降得	c=0 d=0.1 t=6417
jiang de xia lai 	降得下來	c=1 d=1 t=6418
jiang ji 	降級	c=1 d=1 t=5022
jiang jia 	降價	c=2 d=1.11747 t=6451
jiang jiang 	講講	c=1 d=1 t=19632
jiang jun 	將軍	c=2 d=1.0234 t=12814
jiang ling 	將領	c=1 d=1 t=8465
jiang shi 	殭屍	c=2 d=1 t=13388
jiang shu 	講述	c=1 d=1 t=16832
jiang wan 	講完	c=0 d=0.1 t=7864
jiang wan le 	講完了	c=1 d=1 t=7865
jiang xia 	降下	c=2 d=1.01094 t=16194
jiang xue jin 	獎學金	c=1 d=1 t=8740
jiang zuo 	講座	c=1 d=1 t=16943
jiao 	叫	c=2 d=1.00748 t=9822
jiao 	教	c=5 d=1 t=21753
jiao 	角	c=5 d=1.02161 t=16966
jiao ben 	腳本	c=2 d=1.01841 t=6136
jiao cai 	教材	c=1 d=1 t=14495
jiao cheng 	教程	c=1 d=1 t=17271
jiao du 	角度	c=3 d=1.09746 t=21108
jiao du chu fa 	角度出發	c=1 d=1 t=13138
jiao du kan 	角度看	c=1 d=1 t=12703
jiao du kao lv 	角度考慮	c=1 d=1 t=20252
jiao du lai shuo 	角度來說	c=1 d=1 t=21101
jiao fu 	教輔	c=3 d=2.82376 t=14517
jiao gei 	交給	c=1 d=1 t=10525
jiao gen 	腳跟	c=1 d=1 t=5100
jiao huan 	交換	c=1 d=1 t=4885
jiao luo 	角落	c=1 d=1 t=19609
jiao pai 	教派	c=1 d=1 t=14281
jiao quan 	教權	c=3 d=2.91285 t=13972
jiao shou 	教授	c=1 d=1.18099 t=8808
jiao tu 	教徒	c=0 d=0.1 t=14086
jiao tu men 	教徒們	c=1 d=1 t=14087
jiao xiao 	較小	c=0 d=0.1 t=5620
jiao xue 	教學	c=3 d=2.89843 t=13740
jiao yi 	交易	c=6 d=4.49676 t=10921
jiao yi cheng ben 	交易成本	c=1 d=1 t=10881
jiao yi de 	交易的	c=1 d=1 t=10641
jiao yu 	教育	c=1 d=1 t=16018
jiao zhu 	教主	c=1 d=1 t=15381
jiao zuo 	叫做	c=6 d=1 t=17877
jie 	屆	c=1 d=1.01851 t=8760
jie 	捷	c=4 d=1.08511 t=21716
jie 	潔	c=1 d=1 t=348
jie 	界	c=2 d=1.9802 t=17059
jie 	皆	c=1 d=1 t=4964
jie 	節	c=1 d=1 t=13491
jie 	藉	c=1 d=1 t=11641
jie 	解	c=4 d=0.100004 t=20156
jie chu dao 	接觸到	c=1 d=1 t=7203
jie dai 	借貸	c=1 d=1 t=13165
jie dao 	接到	c=1 d=1 t=2809
jie dian 	節點	c=2 d=1.97531 t=8918
jie ding 	界定	c=0 d=0.1 t=20745
jie duan 	階段	c=2 d=1 t=20135
jie gou 	結構	c=1 d=1 t=12114
jie guo 	結果	c=11 d=1.9802 t=22407
jie he 	結合	c=2 d=0.187598 t=20645
jie he qi lai 	結合起來	c=1 d=1 t=21140
jie he zai 	結合在	c=1 d=1 t=20646
jie he zai yi qi 	解合在一起	c=1 d=1 t=20157
jie he zi 	捷盒子	c=1 d=1 t=21717
jie jie 	姐姐	c=1 d=1 t=2991
jie jin 	接近	c=1 d=1 t=19299
jie jin yi xie 	接近一些	c=1 d=1 t=5236
jie jing 	捷徑	c=1 d=1 t=5726
jie jiu 	解救	c=2 d=1 t=16226
jie jue 	解決	c=14 d=1.00003 t=20765
jie jue le 	解決了	c=2 d=1 t=16907
jie jue wen ti 	解決問題	c=1 d=1 t=5319
jie kou 	接口	c=2 d=1 t=18109
jie kuan 	借款	c=1 d=1 t=11593
jie kuan ren 	借款人	c=2 d=1.96079 t=9972
jie lai 	借來	c=1 d=1 t=9948
jie le 	結了	c=1 d=1 t=2136
jie lun 	結論	c=2 d=1.00007 t=20756
jie mi 	解密	c=1 d=1 t=6984
jie mian 	界面	c=2 d=1.18268 t=18231
jie mu 	節目	c=1 d=1 t=2950
jie qian 	借錢	c=1 d=1 t=9357
jie ran bu tong 	截然不同	c=2 d=1.02485 t=15676
jie shao 	介紹	c=6 d=1 t=17703
jie shi 	解釋	c=6 d=1.00002 t=20819
jie shi le 	解釋了	c=2 d=1.02226 t=13901
jie shi qi 	解釋器	c=1 d=1 t=8244
jie shou 	接受	c=6 d=1 t=14224
jie shou le 	接受了	c=1 d=1 t=3965
jie shou zhi wei 	接受職位	c=1 d=1 t=1099
jie shuo 	解說	c=1 d=1 t=14802
jie ti 	階梯	c=1 d=1 t=17404
jie ting 	街亭	c=1 d=1 t=1316
jie tu 	截圖	c=0 d=0.1 t=3075
jie tu ru xia 	截圖如下	c=1 d=1 t=3076
jie wei 	結尾	c=3 d=1.93707 t=17471
jie xi 	解析	c=3 d=1.00179 t=4159
jie xia lai 	接下來	c=2 d=1 t=19216
jie ya 	解壓	c=1 d=1 t=6880
jie yong 	借用	c=0 d=0.1 t=13688
jie yong le 	借用了	c=1 d=1 t=13689
jie zhe 	接着	c=1 d=1 t=19629
jie zhi 	截至	c=1 d=1 t=2109
jie zhi 	節制	c=1 d=1 t=9677
jin 	盡	c=1 d=1 t=11748
jin 	近	c=1 d=1 t=14043
jin 	進	c=1 d=1 t=1682
jin 	金	c=2 d=1 t=17687
jin 	錦	c=1 d=1 t=428
jin ba bu wei 	津巴布韋	c=1 d=1 t=13557
jin biao 	錦標	c=2 d=0.100597 t=12939
jin biao li lun 	錦標理論	c=1 d=1 t=12940
jin chao 	晉朝	c=2 d=1.57121 t=13062
jin cheng 	進程	c=2 d=1 t=18048
jin er 	進而	c=1 d=1 t=11517
jin gong 	進攻	c=1 d=1 t=14838
jin guan 	儘管	c=3 d=1 t=13060
jin hu 	近乎	c=1 d=1 t=9419
jin hui di 	晉惠帝	c=3 d=1 t=22531
jin jin 	僅僅	c=2 d=1.86071 t=20283
jin jin shi 	僅僅是	c=0 d=0.1 t=20160
jin jin shi ba 	僅僅是把	c=1 d=1 t=20161
jin jing 	進京	c=1 d=1 t=12842
jin ke neng 	儘可能	c=2 d=1 t=21364
jin lai 	進來	c=3 d=2.32851 t=2980
jin mi 	緊密	c=3 d=1.7788 t=22064
jin qu 	進去	c=1 d=0.1 t=8689
jin ren 	今人	c=1 d=1 t=11961
jin rong 	金融	c=4 d=1.00178 t=13237
jin rong jia 	金融家	c=1 d=1 t=12392
jin rong wei ji 	金融危機	c=0 d=0.1 t=11492
jin rong wei ji zhong 	金融危機中	c=1 d=1 t=11493
jin ru 	進入	c=1 d=1 t=17196
jin shan ci ba 	金山詞霸	c=1 d=1 t=8269
jin shen 	謹慎	c=1 d=1 t=10797
jin shu 	晉書	c=2 d=1.40861 t=18749
jin shu 	金屬	c=1 d=1 t=12575
jin suo 	緊縮	c=1 d=1 t=11503
jin tian 	今天	c=12 d=1.00657 t=15529
jin wu di 	晉武帝	c=1 d=1 t=12958
jin xiao shen wei 	謹小慎微	c=1 d=1 t=14624
jin xing 	進行	c=8 d=1.0751 t=22051
jin xing le 	進行了	c=3 d=1.00113 t=21803
jin xing zhe 	進行着	c=1 d=1 t=13964
jin yi bu 	進一步	c=2 d=1 t=20627
jin yi bu shuo 	進一步說	c=1 d=1 t=18616
jin yuan di 	晉元帝	c=1 d=1 t=13014
jin zheng ri 	金正日	c=1 d=1 t=9487
jin zhi 	禁止	c=2 d=1.91851 t=4407
jing 	景	c=1 d=1 t=13273
jing 	淨	c=1 d=1 t=20494
jing 	經	c=6 d=3.06527 t=16052
jing bu qi 	經不起	c=2 d=1 t=19203
jing cai 	精彩	c=1 d=1 t=19412
jing chang 	經常	c=4 d=1 t=22589
jing chang shi 	經常是	c=1 d=1 t=14906
jing de qi 	經得起	c=1 d=1 t=21029
jing di 	景帝	c=1 d=1 t=13289
jing dian 	靜電	c=0 d=0.1 t=2020
jing dian rong 	靜電容	c=2 d=1.99005 t=2023
jing fei 	經費	c=1 d=1 t=5597
jing guo 	經過	c=1 d=1 t=2825
jing hun 	驚魂	c=1 d=1 t=13391
jing ji 	經濟	c=15 d=3.49341 t=13587
jing ji cang 	經濟艙	c=1 d=1 t=11380
jing ji fan rong 	經濟繁榮	c=1 d=1 t=9373
jing ji ren 	經紀人	c=2 d=1.00267 t=11267
jing ji shang 	經濟上	c=2 d=1.85642 t=12917
jing ji si xiang 	經濟思想	c=1 d=1 t=13324
jing ji ti 	經濟體	c=1 d=1 t=9379
jing ji xi 	經濟系	c=2 d=1.59156 t=8801
jing ji xue 	經濟學	c=16 d=1.03763 t=18902
jing ji xue jia 	經濟學家	c=1 d=1 t=18292
jing ji xue jiang 	經濟學獎	c=1 d=1 t=13411
jing ji xue shang 	經濟學上	c=1 d=1 t=13821
jing ji xue zhe 	經濟學者	c=1 d=1 t=7772
jing ji zheng ce 	經濟政策	c=1 d=1 t=13469
jing jian ban 	精簡版	c=3 d=2.98506 t=17419
jing jing 	晶晶	c=1 d=1 t=17265
